file,protocol,hit_rate,lines,words,total,hits,invalidations,shared_access,private_access,S->M,E->M
trace2.txt,MESI,0.33562046422359504,64,1,583555,195853,9170,155604,40249,1578,267
trace2.txt,MESI,0.5710789899838061,128,1,583555,333256,16689,299385,33871,6716,363
trace2.txt,MESI,0.75093864331554,256,1,583555,438214,25320,401468,36746,19931,507
trace2.txt,MESI,0.8532391976763116,1024,1,583555,497912,33736,453141,44771,32377,843
trace2.txt,MESI,0.8740444345434449,4096,1,583555,510053,35096,463390,46663,34999,977
trace2.txt,MESI,0.5680270068802427,64,4,583555,331475,26035,321940,9535,6796,694
trace2.txt,MESI,0.591721431570289,128,4,583555,345302,49503,329219,16083,14476,1062
trace2.txt,MESI,0.667721123116073,256,4,583555,389652,80086,366058,23594,25811,689
trace2.txt,MESI,0.8088269314803231,1024,4,583555,471995,73823,434820,37175,37233,15
trace2.txt,MESI,0.8422702230295345,4096,4,583555,491511,52559,450877,40634,38558,37
trace2.txt,MESI,0.5967869352503191,64,16,583555,348258,94664,330151,18107,27867,1150
trace2.txt,MESI,0.6360120297144228,128,16,583555,371148,161329,345964,25184,51055,0
trace2.txt,MESI,0.6741489662499679,256,16,583555,393403,145622,368225,25178,44488,0
trace2.txt,MESI,0.7756201214966884,1024,16,583555,452617,100980,425025,27592,29824,7
trace2.txt,MESI,0.8132498222104172,4096,16,583555,474576,78733,442234,32342,30016,5
trace2.txt,MESI,0.6317005252289845,64,32,583555,368632,163510,343784,24848,51408,0
trace2.txt,MESI,0.633996795503423,128,32,583555,369972,162249,344993,24979,51321,0
trace2.txt,MESI,0.6720326276015114,256,32,583555,392168,146905,367431,24737,44461,0
trace2.txt,MESI,0.7680869840889034,1024,32,583555,448221,106043,423005,25216,29227,1
trace2.txt,MESI,0.798308642715768,4096,32,583555,465857,91301,438327,27530,26276,7
trace2.txt,MESI,0.6289946963011198,64,64,583555,367053,164657,342364,24689,51844,0
trace2.txt,MESI,0.630761453504811,128,64,583555,368084,163932,343411,24673,51534,0
trace2.txt,MESI,0.660755198738765,256,64,583555,385587,151778,361161,24426,46177,0
trace2.txt,MESI,0.7590938300588633,1024,64,583555,442973,111503,419387,23586,29048,0
trace2.txt,MESI,0.7868941230903685,4096,64,583555,459196,99222,435041,24155,25074,0
